raw_prompt,model_prompt,target_response,raw_answer,answer_type,split
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
$\#^' = #<$
'\#[< = #[]
]`*`^ = $\]
`<*\< = $[]
$""#]$ = #\<
Now, determine the result for: """"|""]","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
$\#^' = #<$
'\#[< = #[]
]`*`^ = $\]
`<*\< = $[]
$""#]$ = #\<
Now, determine the result for: """"|""]

Return the final answer only in the format:
\boxed{final_answer}
",\boxed{$$<<},$$<<,mixed_other,train
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
>>+:: = ^:#
>&*[> = [#&&
??*># = ?^#:
)`*?? = `?)#
^`+^[ = `&
Now, determine the result for: ??-&:","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
>>+:: = ^:#
>&*[> = [#&&
??*># = ?^#:
)`*?? = `?)#
^`+^[ = `&
Now, determine the result for: ??-&:

Return the final answer only in the format:
\boxed{final_answer}
",\boxed{`&},`&,mixed_other,train
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
(&>{@ = >^@
({}$' = @:(
'&\""& = '&""&
Now, determine the result for: @:\:'","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
(&>{@ = >^@
({}$' = @:(
'&\""& = '&""&
Now, determine the result for: @:\:'

Return the final answer only in the format:
\boxed{final_answer}
",\boxed{@::'},@::',mixed_other,train
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
$?*#^ = $?#^
|%*## = |%##
?#+)^ = ?#)^
Now, determine the result for: |%-^^","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
$?*#^ = $?#^
|%*## = |%##
?#+)^ = ?#)^
Now, determine the result for: |%-^^

Return the final answer only in the format:
\boxed{final_answer}
",\boxed{^}},^},mixed_other,train
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
}<+<< = <<}<
<}-}} = $
""(*!) = ""><$
$(+!! = !!$(
Now, determine the result for: "">*)\","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
}<+<< = <<}<
<}-}} = $
""(*!) = ""><$
$(+!! = !!$(
Now, determine the result for: "">*)\

Return the final answer only in the format:
\boxed{final_answer}
","\boxed{""""\}}","""""\}",mixed_other,train
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
<$@}\ = \%{
{%[$} = {%$}
<$^>> = ""\
Now, determine the result for: %/[<>","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
<$@}\ = \%{
{%[$} = {%$}
<$^>> = ""\
Now, determine the result for: %/[<>

Return the final answer only in the format:
\boxed{final_answer}
",\boxed{%/<>},%/<>,mixed_other,train
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
[@)$: = )@<
@#\@$ = $^
$<)<[ = )@#
#^\$% = @^%
Now, determine the result for: %^\#@","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
[@)$: = )@<
@#\@$ = $^
$<)<[ = )@#
#^\$% = @^%
Now, determine the result for: %^\#@

Return the final answer only in the format:
\boxed{final_answer}
",\boxed{@@@},@@@,mixed_other,train
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
^)+(@ = $""
""[-^^ = -#$
@^+@% = &^
""(-)( = -@%
Now, determine the result for: ^#-##","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
^)+(@ = $""
""[-^^ = -#$
@^+@% = &^
""(-)( = -@%
Now, determine the result for: ^#-##

Return the final answer only in the format:
\boxed{final_answer}
",\boxed{-@%},-@%,mixed_other,train
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
>\!^@ = """"
^\(@\ = `
&<(\) = )^
""""!>@ = &<
^@!\^ = {\
Now, determine the result for: {`(<{","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
>\!^@ = """"
^\(@\ = `
&<(\) = )^
""""!>@ = &<
^@!\^ = {\
Now, determine the result for: {`(<{

Return the final answer only in the format:
\boxed{final_answer}
",\boxed{@@},@@,mixed_other,train
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
""[!#? = [)""
/\!["" = (""""
$(!?\ = (<""
(""!\< = <#
[<-<[ = /[<?
Now, determine the result for: <?+#/","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
""[!#? = [)""
/\!["" = (""""
$(!?\ = (<""
(""!\< = <#
[<-<[ = /[<?
Now, determine the result for: <?+#/

Return the final answer only in the format:
\boxed{final_answer}
",\boxed{+$(},+$(,mixed_other,train
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
${+&> = ${&>
&>|>$ = &/#
##^<$ = &>
Now, determine the result for: <(^{(","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
${+&> = ${&>
&>|>$ = &/#
##^<$ = &>
Now, determine the result for: <(^{(

Return the final answer only in the format:
\boxed{final_answer}
",\boxed{^</},^</,mixed_other,train
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
%?*%/ = *>
>%*`] = *`%
\?#""} = ""]\`
\%$?] = `>%
//*""} = *?>
Now, determine the result for: ""}#^/","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
%?*%/ = *>
>%*`] = *`%
\?#""} = ""]\`
\%$?] = `>%
//*""} = *?>
Now, determine the result for: ""}#^/

Return the final answer only in the format:
\boxed{final_answer}
",\boxed{/^//},/^//,mixed_other,train
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
{?'#@ = [@!
{!*#[ = @?^(
?#*@[ = [?@%
Now, determine the result for: {^}^|","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
{?'#@ = [@!
{!*#[ = @?^(
?#*@[ = [?@%
Now, determine the result for: {^}^|

Return the final answer only in the format:
\boxed{final_answer}
",\boxed{?},?,mixed_other,train
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
)`+|| = \`\
]`+## = ?/
|\-@@ = |
\\+@) = ?#
Now, determine the result for: )#+?|","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
)`+|| = \`\
]`+## = ?/
|\-@@ = |
\\+@) = ?#
Now, determine the result for: )#+?|

Return the final answer only in the format:
\boxed{final_answer}
",\boxed{|)\},|)\,mixed_other,train
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
^^+!) = #[
"")-$! = -""
\|+\! = |$
|)*|) = |!!
Now, determine the result for: $$-)|","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
^^+!) = #[
"")-$! = -""
\|+\! = |$
|)*|) = |!!
Now, determine the result for: $$-)|

Return the final answer only in the format:
\boxed{final_answer}
",\boxed{\^},\^,mixed_other,train
"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
@&-&? = ?:
<&*>| = >&|:
<""+<@ = <@<""
(""-|| = ""
@{+@| = @|@{
Now, determine the result for: &@*@{","You are solving a reasoning puzzle.

Read the prompt carefully, identify the hidden pattern or transformation rule, and determine the correct final answer.

Prompt:
In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
@&-&? = ?:
<&*>| = >&|:
<""+<@ = <@<""
(""-|| = ""
@{+@| = @|@{
Now, determine the result for: &@*@{

Return the final answer only in the format:
\boxed{final_answer}
",\boxed{:(|:},:(|:,mixed_other,train
